,inicio,varinicio,varfim,pt_v,id,vir,int,real,lit,leia,escreva,literal,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,facaAte,fimFaca,fim,eof
0,S2,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
1,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,Acc
2,E1,S4,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E7
3,E1,E3,E4,E6,S13,E6,E4,E4,E4,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,S15,E19,S10,E7
4,E1,E3,S19,E6,E6,E6,S21,S22,S23,E5,E5,E5,E5,E6,E6,E5,E6,E6,E8,E6,E9,E18,E19,E5,E7
5,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E18,E19,E6,R2
6,E1,E3,E4,E6,S13,E6,E4,E4,E4,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,S15,E19,S10,E7
7,E1,E3,E4,E6,S13,E6,E4,E4,E4,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,S15,E19,S10,E7
8,E1,E3,E4,E6,S13,E6,E4,E4,E4,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,S15,E19,S10,E7
9,E1,E3,E6,E6,S13,E6,E4,E4,E4,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,E9,S15,E19,S10,E7
10,E1,E3,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,R38
11,E1,E3,E6,E6,S28,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
12,E1,E3,E6,E6,S32,E6,E6,E6,E6,E6,E6,S30,S31,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
13,E1,E3,E6,E6,E6,E6,E4,E4,E4,E6,E6,E6,E6,S33,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
14,E1,E3,E6,E6,S13,E6,E6,E6,E6,S11,S12,E6,E6,E6,E6,S16,E6,E6,E8,E6,S38,E18,E19,E6,E7
15,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S39,E6,E8,E6,E9,E18,E19,E6,E7
16,E1,E3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S40,E6,E8,E6,E9,E18,E19,E6,E7
17,E1,E3,E6,E6,R3,E6,E6,E6,E6,R3,R3,E6,E6,E6,E6,R3,E6,E6,E8,E6,E9,R3,E19,R3,E7
18,E1,E3,S19,E6,E6,E6,S21,S22,S23,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
19,E1,E3,E6,S42,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
20,E1,E3,E6,E4,S44,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
21,E1,E3,E6,E4,R9,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
22,E1,E3,E6,E4,R10,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
23,E1,E3,E6,E4,R11,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
24,E1,E3,E6,E4,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,R12
25,E1,E3,E6,E4,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,R18
26,E1,E3,E6,E4,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,R24
27,E1,E3,E6,E4,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,R32
28,E1,E3,E6,S45,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
29,E1,E3,E6,S46,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
30,E1,E3,E4,R15,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
31,E1,E3,E4,R16,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
32,E1,E3,E4,R17,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
33,E1,E3,E4,E6,S49,E6,E6,E6,E6,E6,E6,E6,S50,E6,E6,E6,E6,E6,E8,E6,E9,E18,E19,E6,E7
